# $Id: LIM-OVALS-Rules.csv,v 1.3 2004/08/17 23:27:41 rz7367 Exp $,,,,,,,,,
#Error Code,Error Text to match,LIM Error Tag,LIM Description,Origin,Severity,BusinessRule,OVALS Error Text to match,LIM Error,Exception Type
ADDR_ERR,null,LIM-ObjectNotFound-00001,Neither an exact match or a close alternative was found.,OVALS,1,0,Neither an exact match or a close alternative was found.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
LIM_ERR,Not Implemented,LIM-NotImplemented-00080,The requested LIM operation has not been implemented.,OVALS,1,0,The requested LIM operation has not been implemented.,ERR_LIM_REQUEST_NOT_IMPLEMENTED,Not Implemented
LIM_ERR,OVALS Exception,LIM-SystemFailure-00866,Exception from OVALS. Contact MPS Hotline for Support.,OVALS,1,0,Exception from OVALS. Contact MPS Hotline for Support.,ERR_LIM_OVALS,System Failure
LIM_ERR,buildAddress:,LIM-SystemFailure-00868,Exception while getting the OVALS Features. Contact MPS Hotline for Support.,OVALS,1,0,Exception while getting the OVALS Features. Contact MPS Hotline for Support.,ERR_LIM_OVALS_FEATURE,System Failure
LIM_ERR,connect:,LIM-SystemFailure-00865 ,Problem connecting to OVALS System. Contact MPS Hotline for Support.,OVALS,1,0,Problem connecting to OVALS System. Contact MPS Hotline for Support.,ERR_LIM_OVALS_CONNECTION,System Failure
LIM_ERR,Connection in Progress,LIM-SystemFailure-01079,Connection to OVALS is in progress. Please wait few seconds and try again.,OVALS,1,0,Connection to OVALS is in progress. Please wait few seconds and try again.,ERR_LIM_OVALS_CONNECTION_INPROGRESS,System Failure
LIM_ERR,connect off hours:,LIM-SystemFailure-01080,OVALS is not available at this time. Unable to make connection.,OVALS,1,0,OVALS is not available at this time. Unable to make connection.,ERR_LIM_OVALS_CONNECTION_OFF_HOURS,System Failure
LIM_ERR,findValidRange:,LIM-SystemFailure-00867,Exception while getting the QMS Resource. Please try again.,OVALS,1,0,Exception while getting the QMS Resource. Please try again.,ERR_LIM_OVALS_QMS_RESOURCE,System Failure
LIM_ERR,buildGisTableNames:,LIM-SystemFailure-01008,Exception while getting the OVALS Gis Table Names. Contact MPS Hotline for Support.,OVALS,1,0,Exception while getting the OVALS Gis Table Names. Contact MPS Hotline for Support.,ERR_LIM_OVALS_GIS_TABLE_NAMES,System Failure
LIM_ERR,buildLayerInfoTable:,LIM-SystemFailure-01009,Exception while building the OVALS Gis Layer Information. Contact MPS Hotline for Support.,OVALS,1,0,Exception while building the OVALS Gis Layer Information. Contact MPS Hotline for Support.,ERR_LIM_OVALS_GIS_LAYER_INFO,System Failure
LIM_ERR,formatAddress:,LIM-SystemFailure-01010,Exception while formating the OVALS Address. Contact MPS Hotline for Support.,OVALS,1,0,Exception while formating the OVALS Address. Contact MPS Hotline for Support.,ERR_LIM_OVALS_FORMAT_ADRESS,System Failure
ORACLE_ERR,getConnection:,LIM-SystemFailure-01014,Exception in getConnection. Contact MPS Hotline for Support.,OVALS,1,0,SQL Exception while trying to get data from OVALS DB. Contact MPS Hotline for Support.,ERR_LIM_GET_LOCATION_CONNECT,System Failure,
LIM_ERR,naming:,LIM-SystemFailure-01015,Naming failure for DataSource in getConnection. Contact MPS Hotline for Support.,LIM,1,0,Naming failure for DataSource in getConnection. Contact MPS Hotline for Support.,ERR_LIM_GET_LOCATION_NAMING,System Failure,
ORACLE_ERR,SQL Exception:,LIM-SystemFailure-01016,Failed on SQL. Contact MPS Hotline for Support.,OVALS,1,0,Failed on SQL. Contact MPS Hotline for Support.,ERR_LIM_GET_LOCATION_SQL,System Failure,
ORACLE_ERR,getPSAMdbInfo:,LIM-SystemFailure-02069,Error while retrieving data from PSAM DB. Contact MPS Hotline for Support.,OVALS,1,0,Error while retrieving data from PSAM DB. Contact MPS Hotline for Support.,ERR_LIM_OVALS_DB,System Failure,
ORACLE_ERR,getCOTValue:,LIM-SystemFailure-02071,Error while retrieving the COT value. Contact MPS Hotline for Support.,OVALS,1,0,Error while retrieving the COT value. Contact MPS Hotline for Support.,ERR_LIM_OVALS_COT,System Failure,
#Default,,,,,,,,,
null,null,LIM-SystemFailure-00866,Host System Exception Not Defined in OVALS Rules File.,OVALS,1,0,Host System Exception Not Defined in OVALS Rules File.,ERR_LIM_OVALS,System Failure
