# $Id: LIM-PREMIS-Rules.csv,v 1.3 2003/03/21 19:24:44 dm2328 Exp $,,,,,,,,,
#Error Code,Error Text to Match,LIM Error Tag,LIM Output Description,Origin,Severity,BusinessRule,PREMIS Error Text,LIM Error,Exception Type
30,null,LIM-BusinessViolation-00001,PREMISServer / DBServer down due to regularly scheduled maintenance.,PREMIS,1,0,The system is not available at this time.,ERR_LIM_DOWN_FOR_SYS_MAINTENANCE,Business Violation
50,null,LIM-ObjectNotFound-00002,Service not found.,PREMIS,1,0,Service not found.,ERR_LIM_SERVICE_NOT_FOUND,Object Not Found
2001,null,LIM-InvalidData-00475,Invalid Postal Code or require valid 2-4 alpha character SAGA.,PREMIS,1,0,Invalid zip code or SAGA.,ERR_LIM_INVALID_POSTAL_CODE_OR_SAGA,Invalid Data
2003,null,LIM-InvalidData-00447,Missing Postal Code.,PREMIS,1,0,Required field missing:,ERR_LIM_MISSING_POSTAL_CODE,Invalid Data
2004,null,LIM-ObjectNotFound-00001,Host System Exception: Information not available. ,PREMIS,1,0,Information Not Available:,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
6001,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,PREMIS system problem encountered,ERR_LIM_PREMISSERVER,System Failure
6002,null,LIM-ObjectNotFound-00001,Host System Exception: Syntax errors in parsing input. ,PREMIS,1,0,Syntax errors encountered in parsing the input.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
6003,null,LIM-SystemFailure-00451,Host System Exception: DOE Terminal ID is required input.,PREMIS,1,0,DOE Terminal ID is required input. None was found.,ERR_LIM_MISSING_DOE_TERMINAL_ID,System Failure
6004,null,LIM-ObjectNotFound-00001,Host System Exception: Request data does not meet the input requirements.,PREMIS,1,0,Request data does not meet the input requirements for an Address validation request.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
6005,null,LIM- InvalidData-00447,Missing Postal Code.,PREMIS,1,0,SAGA or Zip Code is required input. None was found.,ERR_LIM_MISSING_POSTAL_CODE,Invalid Data
6006,null,LIM-ObjectNotFound-00001,Host System Exception: Address data did not include basic address.,PREMIS,1,0,Address data did not include basic address.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
6007,null,LIM-ObjectNotFound-00001,Host System Exception: Basic address in Address data was in error.,PREMIS,1,0,Basic address in Address data was in error.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
6008,null,LIM-ObjectNotFound-00001,Host System Exception: Supplemental address data was in error. ,PREMIS,1,0,Supplemental address data was in error.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
6009,null,LIM-ObjectNotFound-00001,Host System Exception: Neither Address nor TN specified.,PREMIS,1,0,Neither address data nor TN entered. One is required.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
6010,null,LIM-InvalidData-00440,Invalid TN format.,PREMIS,1,0,TN has an invalid format.,ERR_LIM_INVALID_TN_FORMAT,Invalid Data
6013,null,LIM-SystemFailure-00441,Invalid Data: PREMIS Line ID missing or invalid.,PREMIS,1,0,Line ID missing or invalid.,ERR_LIM_PREMIS_INVALID_LINE_ID,System Failure
6102,null,LIM-InvalidData-00434,Invalid Postal Code.,PREMIS,1,0,Invalid Zip Code entry.,ERR_LIM_INVALID_POSTAL_CODE,Invalid Data
6104,null,LIM-ObjectNotFound-00002,Service not found.,PREMIS,1,0,TN not found.,ERR_LIM_SERVICE_NOT_FOUND,Object Not Found
6105,null,LIM-ObjectNotFound-00001,Neither an exact match or a close alternative was found.,PREMIS,1,0,Verify Street Name entry.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
6106,null,LIM-ObjectNotFound-00001,Verify Descriptive Address entry.,PREMIS,1,0,Verify Descriptive Address entry.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
6110,null,LIM-InvalidData-00437,Invalid Unnumbered Street Name.,PREMIS,1,0,Verify Unnumbered Street Name entry.,ERR_LIM_INVALID_UNNUMBERED_STREET_NAME,Invalid Data
6115,null,LIM-ObjectNotFound-00001,Neither an exact match or a close alternative was found.,PREMIS,1,0,Could not complete SAG validations.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
