# $Id: LIM-Rules.csv,v 1.28 2008/02/29 22:59:45 gg2712 Exp $,,,,,,,,
#Error Code,Error Text to match,LIM Error Tag,LIM Description,Origin,Severity,BusinessRule,LIM Error Text,LIM Error,Exception Type
ADDR_ERR,Postal Code Missing,LIM-ObjectNotFound-00001,Neither an exact match or a close alternative was found. Postal Code is missing.,LIM,1,0,Neither an exact match or a close alternative was found. Postal Code is missing.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
ADDR_ERR,XML Parsing Exception,LIM-InvalidData-01717,Invalid Data: JAXB Exception: <%TAG=MSG%s>.,LIM,1,0,XML Parsing Error,ERR_LIM_XML_PARSER_INPUT_EXCEPTION,Invalid Data
ADDR_ERR,null,LIM-ObjectNotFound-00001,Neither an exact match or a close alternative was found.,LIM,1,0,Neither an exact match or a close alternative was found. ,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
ADDR_ERR,null,LIM-ObjectNotFound-00006,Postal Code <%s> not found,LIM,1,0,Postal Code Not Found,ERR_LIM_POSTAL_CODE_NOT_FOUND,Object Not Found
ADDR_PARSER,null,LIM-SystemFailure-00499,AddressHandler Exception: Unrecognized address format - ASON. ,LIM,1,0,AddressHandler Exception: Unrecognized address format - ASON. ,ERR_LIM_ASON_UNRECOGNIZED_ADDRESS_FORMAT,System Failure
EDIT_ERR,Cannot Specify AddressLine with City or State or PostalCode,LIM-BusinessViolation-01624,Invalid Request: <%TAG=CLASS%s>.aAddress.aUnfieldedAddress.aAddressLines5<%TAG=ADDRESSLINES%s> with aCity<%TAG=CITY%s> or aState<%TAG=STATE%s> or aPostalCode<%TAG=POSTALCODE%s>. Reason: Cannot specify address line 5 with city or state or postal code together.,LIM,1,0,Cannot specify address line 5 with city or state or postal code together.,ERR_LIM_ADDRESSLINE_WITH_CITY_OR_STATE_OR_POSTALCODE_COMBO,Business Violation
EDIT_ERR,Cannot Specify AddressLine and PostalCode,LIM-BusinessViolation-01539,Invalid Request: <%TAG=CLASS%s>.aAddress.aUnfieldedAddress.aAddressLines5<%TAG=ADDRESSLINES%s> and aPostalCode<%TAG=POSTALCODE%s>. Reason: Cannot specify address line 5 and postal code together.,LIM,1,0,Cannot specify address line 5 and postal code together.,ERR_LIM_ADDRESSLINE_AND_POSTALCODE_COMBO,Business Violation
EDIT_ERR,Missing Service Center,LIM-InvalidData-00442,Missing Data: <%TAG=CLASS%s>:BisContext:aContext.aProperties.ServiceCenter.,LIM,1,0,Missing Service Center,ERR_LIM_MISSING_SERVICE_CENTER,Invalid Data
EDIT_ERR,Missing Logging Information,LIM-InvalidData-00443,Missing Data: <%TAG=CLASS%s>:BisContext:aContext.aProperties.LoggingInformation.,LIM,1,0,Missing Logging Information,ERR_LIM_MISSING_LOGGING_INFORMATION,Invalid Data
EDIT_ERR,Cannot specify House Number and Descriptive Address,LIM-BusinessViolation-00470,Invalid Request: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aHouseNumber<%TAG=SANO%s> and aAdditionalAddressInformation<%TAG=AAI%s>. Reason: Cannot specify House Number and Descriptive Address together.,LIM,1,0,Cannot specify House Number and Descriptive Address together.,ERR_LIM_HOUSE_NUMBER_AAI_COMBO,Business Violation
EDIT_ERR,Cannot specify House Number and Assigned House Number,LIM-BusinessViolation-00471,Invalid Request: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aHouseNumber<%TAG=SANO%s> and aAssignedHouseNumber<%TAG=AHN%s>. Reason: Cannot specify House Number and Assigned House Number together. ,LIM,1,0,Cannot specify House Number and Assigned House Number together.,ERR_LIM_HOUSE_NUMBER_AHN_COMBO,Business Violation
EDIT_ERR,Cannot specify Street Name and Descriptive Address,LIM-BusinessViolation-00472,Invalid Request: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aStreetName<%TAG=SANA%s> and aAdditionalAddressInformation<%TAG=AAI%s>. Reason: Cannot specify Street Name and Descriptive Address together.,LIM,1,0,Cannot specify StreetName and Descriptive Address together.,ERR_LIM_STREETNAME_AAI_COMBO,Business Violation
EDIT_ERR,Cannot specify Street Name or Route and Descriptive Address,LIM-BusinessViolation-00839,Invalid Request: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aStreetName<%TAG=SANA%s> and aAddress.aFieldedAddress.aStreetName<%TAG=ROUTE%s> and aAdditionalAddressInformation<%TAG=AAI%s>. Reason: Cannot specify Street Name or Route and Descriptive Address together.,LIM,1,0,Cannot specify StreetName or Route and Descriptive Address together.,ERR_LIM_STREETNAME_ROUTE_AAI_COMBO,Business Violation
EDIT_ERR,Unnamed Address validation,LIM-BusinessViolation-00720,Invalid Request: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aStreetName<%TAG=SANA%s> and aAddress.aFieldedAddress.aState<%TAG=STATE%s>. Reason: Unnamed Address validation is not supported in this State.,LIM,1,0,Unnamed Address validation is not supported in this State,ERR_LIM_UNNAMED_ADDRESS_NOT_SUPPORTED,Business Violation
EDIT_ERR,Invalid State,LIM-InvalidData-00092,Invalid Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aState<%TAG=STATE%s>. Reason: Invalid State.,LIM,1,0,Invalid State,ERR_LIM_INVALID_STATE,Invalid Data
EDIT_ERR,Missing Postal Code,LIM-InvalidData-00447,Missing Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aPostalCode.,LIM,1,0,Missing Postal Code,ERR_LIM_MISSING_POSTAL_CODE,Invalid Data
EDIT_ERR,Invalid Postal Code,LIM-InvalidData-00434,Invalid Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aPostalCode<%TAG=ZIP%s>. Reason: Invalid Postal Code.,LIM,1,0,Invalid Postal Code,ERR_LIM_INVALID_POSTAL_CODE,Invalid Data
EDIT_ERR,Invalid SAGA or Postal Code,LIM-InvalidData-00475,Invalid Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aPostalCode<%TAG=ZIP%s>. Reason: Invalid Postal Code or require valid 2-4 alpha character SAGA.,LIM,1,0,Invalid Postal Code or SAGA,ERR_LIM_INVALID_POSTAL_CODE_OR_SAGA,Invalid Data
EDIT_ERR,Invalid SAGID or Postal Code,LIM-InvalidData-00476,Invalid Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aPostalCode<%TAG=ZIP%s>. Reason: Invalid Postal Code or require valid 1 alpha character SAGID.,LIM,1,0,Invalid Postal Code or SAGID,ERR_LIM_INVALID_POSTAL_CODE_OR_SAGID,Invalid Data
EDIT_ERR,Missing City,LIM-InvalidData-00477,Missing Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aCity. It is required with SAG ID process.,LIM,1,0,Missing City,ERR_LIM_MISSING_CITY,Invalid Data
EDIT_ERR,Missing Data: City,LIM-InvalidData-08703,Missing Data: City,LIM,1,0,Missing City,ERR_LIM_INVALIDDATA_MISSINGCITY,Invalid Data
EDIT_ERR,Missing Street Name,LIM-InvalidData-00445,Missing Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aStreetName.,LIM,1,0,Missing Street Name,ERR_LIM_MISSING_STREET_NAME,Invalid Data
EDIT_ERR,Missing Address Info,LIM-InvalidData-00446,Missing Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aHouseNumber and aStreetName. Reason: Insufficient address info provided . ,LIM,1,0,Missing Address Info,ERR_LIM_MISSING_ADDRESS_INFO,Invalid Data
EDIT_ERR,Missing Telephone Number,LIM-InvalidData-00478,Missing Data: <%TAG=CLASS%s>:aServiceHandle.aObjectKey. ,LIM,1,0,Missing Telephone Number,ERR_LIM_MISSING_TELEPHONE_NUMBER,Invalid Data
EDIT_ERR,Invalid TN Format,LIM-InvalidData-00440,Invalid Data: <%TAG=CLASS%s>:aServiceHandle.aObjectKey<%TAG=TN%s>. Reason: Invalid TN format.,LIM,1,0,Invalid TN Format,ERR_LIM_INVALID_TN_FORMAT,Invalid Data
EDIT_ERR,Invalid Application,LIM-InvalidData-01213,Invalid Data: <%TAG=CLASS%s>:aContext.aProperties<%TAG=APPLICATION%s>. Reason: Invalid Application.,LIM,1,0,Invalid Application,ERR_LIM_INVALID_APPLICATION,Invalid Data
EDIT_ERR,Missing Application,LIM-InvalidData-01213,Missing Data: <%TAG=CLASS%s>:aContext.aProperties.APPLICATION. Reason: Missing Application.,LIM,1,0,Invalid Application,ERR_LIM_INVALID_APPLICATION,Invalid Data
